#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD5905
#Date Time: 2022-07-04 14:02:08.975
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: 3.0.csv
#Frequency: 250 Hz
#Period: 4 ms
#Amplitude: 2 V
#Offset: 0 V
#Phase: 0 бу

Time (s),Channel 1 (V),Channel 2 (V)
-0.004680063741799178,0.001104373007562797,-0.0004676565573018989
-0.004679433741799178,0.001104373007562797,-0.0008012769860716951
-0.004678803741799177,0.001104373007562797,-0.0008012769860719984
-0.004678173741799177,0.001441457264505946,-0.0004676565573025057
-0.004677543741799177,0.0014414572645061,-0.0008012769860718468
-0.004676913741799177,0.001778541521449096,-0.0004676565573022023
-0.004676283741799177,0.001778541521449096,-0.0004676565573022023
-0.004675653741799178,0.001778541521449096,-0.0004676565573022023
-0.004675023741799177,0.001441457264505946,-0.0004676565573022023
-0.004674393741799177,0.0007672887506199549,-0.0004676565573022023
-0.004673763741799177,0.001104373007563104,-0.0008012769860719984
-0.004673133741799177,0.001441457264505793,-0.0008012769860719984
-0.004672503741799177,0.001104373007562797,-0.0008012769860719984
-0.004671873741799178,0.001104373007562797,-0.0004676565573023541
-0.004671243741799177,0.001441457264505793,-0.000134036128532558
-0.004670613741799177,0.001104373007562797,-0.0004676565573022023
-0.004669983741799177,0.0007672887506199549,-0.0004676565573022023
-0.004669353741799177,0.001104373007562951,-0.0004676565573023541
-0.004668723741799177,0.001441457264505946,-0.0008012769860719984
-0.004668093741799178,0.0007672887506199549,-0.0008012769860719984
-0.004667463741799178,0.001104373007562491,-0.0004676565573025057
-0.004666833741799177,0.001104373007562797,-0.0008012769860719984
-0.004666203741799177,0.001104373007563104,-0.0001340361285324063
-0.004665573741799177,0.0014414572645061,-0.000134036128532558
-0.004664943741799177,0.001778541521449096,-0.0004676565573022023
-0.004664313741799177,0.002115625778392091,-0.0001340361285325581
-0.004663683741799178,0.002452710035335087,-0.0004676565573018989
-0.004663053741799177,0.001441457264505486,-0.0004676565573022023
-0.004662423741799177,0.0004302044936764993,-0.0004676565573022023
-0.004661793741799177,9.312023673396345e-05,-0.001134897414842098
-0.004661163741799177,0.0007672887506198016,-0.001468517843611287
-0.004660533741799177,0.001104373007562797,-0.0008012769860719984
-0.004659903741799178,0.001104373007562797,-0.0004676565573023541
-0.004659273741799178,0.00144145726450564,-0.0004676565573022023
-0.004658643741799177,0.001441457264505946,-0.0001340361285324063
-0.004658013741799177,0.00144145726450564,-0.0004676565573022023
-0.004657383741799177,0.001104373007562644,-0.0004676565573022023
-0.004656753741799177,0.0007672887506196483,-0.0004676565573022023
-0.004656123741799177,0.0007672887506196483,-0.0004676565573022023
-0.004655493741799178,0.001104373007562491,-0.0001340361285327097
-0.004654863741799177,0.001441457264505946,-0.0004676565573022023
-0.004654233741799177,0.001104373007562951,-0.0004676565573022023
-0.004653603741799177,0.0007672887506199549,-0.0004676565573022023
-0.004652973741799177,0.001441457264505946,-0.0004676565573022023
-0.004652343741799177,0.001104373007562797,-0.0001340361285324063
-0.004651713741799178,0.0007672887506198016,-0.0004676565573020506
-0.004651083741799177,0.0007672887506198016,-0.0004676565573020506
-0.004650453741799177,0.001104373007562797,-0.0001340361285324063
-0.004649823741799177,0.001441457264506253,-0.0004676565573025057
-0.004649193741799177,0.001778541521449096,-0.0008012769860718468
-0.004648563741799177,0.001778541521449096,-0.0004676565573022023
-0.004647933741799178,0.0014414572645061,-0.0004676565573022023
-0.004647303741799178,0.001441457264505946,-0.0004676565573022023
-0.004646673741799177,0.0007672887506196483,-0.0004676565573022023
-0.004646043741799177,0.0007672887506196483,-0.0001340361285327097
-0.004645413741799177,0.000767288750619495,-0.0004676565573020506
-0.004644783741799177,0.0004302044936764993,-0.0001340361285324063
-0.004644153741799177,0.001104373007562491,-0.0001340361285324063
-0.004643523741799178,0.001104373007562797,-0.0001340361285324063
-0.004642893741799177,0.001441457264505946,0.0001995843002373897
-0.004642263741799177,0.001441457264505946,-0.0001340361285322546
-0.004641633741799177,0.001441457264505946,-0.0001340361285324063
-0.004641003741799177,0.001441457264505793,-0.0001340361285324063
-0.004640373741799177,0.001104373007562797,-0.0001340361285324063
-0.004639743741799178,0.0004302044936768059,-0.000801276986071695
-0.004639113741799178,9.312023673365685e-05,-0.001134897414841491
-0.004638483741799177,0.0007672887506196483,-0.001134897414841794
-0.004637853741799177,0.0004302044936768059,-0.0008012769860723019
-0.004637223741799177,0.000767288750619495,-0.001134897414841643
-0.004636593741799177,0.0004302044936764993,-0.0008012769860719984
-0.004635963741799178,0.0004302044936764993,-0.0004676565573023541
-0.004635333741799178,0.0004302044936764993,-0.0008012769860716951
-0.004634703741799177,0.001104373007562797,-0.0008012769860719984
-0.004634073741799177,0.0007672887506196483,-0.000801276986071695
-0.004633443741799177,0.0007672887506198016,-0.0004676565573022023
-0.004632813741799177,0.001104373007562797,-0.0004676565573022023
-0.004632183741799177,0.001441457264505793,-0.0004676565573022023
-0.004631553741799178,0.001104373007563104,-0.0004676565573022023
-0.004630923741799177,0.001104373007563104,-0.0004676565573022023
-0.004630293741799177,0.001778541521449096,-0.0004676565573022023
