#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD5905
#Date Time: 2022-07-04 13:55:55.124
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: 3.0.csv
#Frequency: 250 Hz
#Period: 4 ms
#Amplitude: 2 V
#Offset: 0 V
#Phase: 0 бу

Time (s),Channel 1 (V),Channel 2 (V)
-0.002551317497455286,-0.05417744513111365,-0.00146851784361159
-0.002550687497455286,-0.0511436868186253,-0.002135758701151182
-0.002550057497455286,-0.04473908593669949,-0.001468517843611438
-0.002549427497455286,-0.03159279991592265,-0.001134897414841794
-0.002548797497455286,-0.02552528329094597,-0.001134897414841794
-0.002548167497455286,-0.004626059360470736,-0.0008012769860719984
-0.002547537497455286,-0.001255216791039246,0.0001995843002373897
-0.002546907497455286,0.01728441734083395,0.0005332047290071857
-0.002546277497455286,0.02099234416720859,0.001200445586546778
-0.002545647497455286,0.01795858585472025,0.0008668251577769817
-0.002545017497455286,0.01458774328529029,0.0001995843002376932
-0.002544387497455286,0.002452710035335393,0.0001995843002373897
-0.002543757497455286,-0.002266469561868693,0.0005332047290071857
-0.002543127497455286,-0.02215444072151448,-0.001802138272381387
-0.002542497497455286,-0.02788487308954802,-0.001134897414841794
-0.002541867497455286,-0.04912118127696641,-0.001802138272381387
-0.002541237497455286,-0.05586286641582939,-0.001802138272381387
-0.002540607497455286,-0.05518869790194309,-0.001802138272381387
-0.002539977497455286,-0.05451452938805143,-0.001802138272381235
-0.002539347497455286,-0.04271658039504658,-0.00146851784361159
-0.002538717497455286,-0.03428947397146785,-0.001802138272381387
-0.002538087497455286,-0.008333986186857177,-0.0001340361285331647
-0.002537457497455286,0.009531479431141522,0.0008668251577769817
-0.002536827497455286,0.02166651268109489,0.0008668251577769817
-0.002536197497455286,0.02571152376441268,0.001200445586546778
-0.002535567497455286,0.02874528207690102,0.0008668251577769817
-0.002534937497455286,0.02402610247969908,0.0005332047290073374
-0.002534307497455286,0.01559899605611821,-0.0001340361285324063
-0.002533677497455286,0.008183142403368926,0.0001995843002373897
-0.002533047497455286,-0.01237899727015382,-0.0008012769860715433
